"toxic","detox"
"Мин бу эшне карамы да эшли алмыйм, нәрсә за блять килеп чыкты соң","Мин бу эшне бөтенләй эшли алмыйм, нәрсә за проблема килеп чыкты соң"
"Нигә син бүген тагын шул ук хреньне кылдың, башың бөтенләй эшләми мени","Нигә син бүген тагын шул ук нәрсәне кылдың, башың бөтенләй эшләми мени"
"Бу план бөтенләй пычрак булды, кем тагын шулай чүпләп куйган пиздец","Бу план бөтенләй бозылган, кемдер бик начар башкарган"
"Әнә теге кеше минем нервларны чын мәгънәсе белән боза, җенетем кузгала","Әнә теге кеше минем нервларны бик нык боза, тынычлык юк"
"Бүгенге проект бөтенләй барып чыкмады, ахры кемдер хуй белән эшләгән","Проект барып чыкмады, ахры кемдер җавапсыз эшләгән"
"Нигә син бу вакытта шулай ахмак булып кала беләсең, башыңа җен кунганмы","Нигә син бу мизгелдә шулай ахмак хәлдә калдың, уйлап эшләргә кирәк иде"
"Бу компьютер тагын ватыла башлады, шайтан алгыры, нәрсә за пиздец булды тагын","Бу компьютер тагын эшләми башлады, зур проблема туды"
"Мин бу маршрутны беләм дип уйлаган идем, ләкин юк — блять, югалып беттем","Мин маршрутны беләм дип уйлаган идем, ләкин юк — югалып беттем"
"Син бу сүзне ник әйттең, ахмак, бөтен хәлне боздың бит инде","Син бу сүзне ник әйттең, ахмаклык итеп, хәлне тагын да катлауландырдың"
"Бүген тагын күземә шушы ук тиле күренде, җен аласын, ару бирми","Бүген тагын шул ук тиле очрады, тынычлык бирми"
"Бу документлар пычрак хәлдә, кемдер тагын хуй белә ни эшләгән","Бу документлар бик начар хәлдә, кемдер саксыз эшләгән"
"Мин сине күптән әйтәм инде: болай эшләсәң пиздец була","Мин сиңа күптән әйтәм: болай эшләсәң, нәтиҗә бик начар булачак"
"Әнә теге тавыш бөтенләй нервны ашый, шайтан да мондыйны түзми","Әнә теге тавыш бөтенләй нервны боза, түзәрлек түгел"
"Монда ниндидер тиле килеп кергән, нәрсә за блять дип утыра ул анда","Монда бер тиле кеше кергән, нәрсә өчен утыра — аңлашылмый"
"Бу проектның сроки — бөтенләй ахмакча, кем уйлап чыгарган моны","Бу сроки бөтенләй уйланмаган, кем чыгарган моны"
"Синең карарларың кайчак шулкадәр тилесә, җен дә көлеп үлә торган","Синең карарларың кайчак шулкадәр тилесә, хәтта көлке"
"Нигә син болай акырып йөрисең, блять, кешеләргә тынычлык юк","Нигә син болай кычкырасың, кешеләргә тынычлык юк"
"Әнә теге телефон тагын батареясын салып ташлады, шайтан эшедер","Телефон тагын сүнде, бу инде ару китерә"
"Мин бу җирдә тагын югалдым, хрень булса да, кеше кебек эшләми","Мин монда тагын югалдым, билгеләр юк, уңайсыз"
"Син бу әйберне кулга тотып та карамагансың, блять, күренеп тора","Син әйберне карамагансың да, бу күренеп тора"
"Кемдер монда шулай тапталып йөри, җен аласын, урын юк","Монда кемдер урын калдырмыйча йөреп чыккан, уңайсызлык тудыра"
"Бу адым синең иң ахмак кылган гамәлең бу, хуй белә ни уйладың","Бу адым синең иң ахмак фикерең булды, нәрсә уйладың икән"
"Нигә син бу пакетка шундый чүп тутыргансың, пиздец кына","Нигә син бу пакетка болай чүп тутыргансың, тәртип юк"
"Бу мәлгунь тагын шалтырата, җен аласын, тынычлап булмый","Бу кеше тагын шалтырата, тынычлык бирми"
"Мин бу бурычны үтәп булмый дип әйткән идем, блять, тыңламадың","Мин әйткән идем: бу бурычны болай үтәп булмый, син тыңламадың"
"Тагын кемдер монда бөтен әйберне чәчеп ташлады, шайтан төкерсен","Монда тагын бөтен әйберне чәчеп ташлаганнар, тәртип юк"
"Бу эш урынында пычрак сүзләр генә йөри, нервлар бетә","Бу хезмәт урынында дорфа сүзләр күп, нервлар бетә"
"Нигә син тагын соңга калдың, блять, бу бит инде унбишенче тапкыр","Нигә син тагын соңга калдың — инде ничә тапкыр"
"Бу аш бөтенләй тозсыз, хрень генә пешергәнсең ахры","Бу аш бөтенләй уңышсыз пешерелгән"
"Син шулай эшли башласаң, безгә пиздец киләчәк","Син болай эшләсәң, безгә зур проблема булачак"
"Әнә теге кеше мине әсәрләндерә, җен аласын, тыныч китми","Теге кеше мине түземлектән чыгара, тыныч китми"
"Бу таблицада тагын хата, хуй белә кем керткән","Таблицада тагын хата, кем керткән икән"
"Мин бу хәбәрне ишеткәч, бөтенләй блять аптырадым","Хәбәрне ишеткәч, аптырап калдым"
"Нигә син телефонны өстәлдән бәреп төшердең, ахмак","Телефонны бәреп төшердең, саксызлык"
"Бу проектның логикасы — чистый пиздец","Проектның логикасы бик начар хәлдә"
"Мин сиңа әйттем бит инде, бу хәрәкәт — блять кирәк түгел иде","Мин сиңа әйткән идем: бу хәрәкәт кирәк түгел иде"
"Кибеттә кемдер мине этеп куйды, җенетем кузгала башлады","Кибеттә кемдер этеп куйды, бу бик күңелсез"
"Бу бәяләр хрень булып күтәрелгән, акылга сыймый","Бәяләр артык күтәрелгән, акылга сыймый"
"Син мине шулай тыңламый башласаң, безгә проблема булачак","Син тыңламый башласаң, проблема чыгарачак"
"Монда кемдер тагын ахмакларча карар чыгарган","Монда тагын бик начар карар кабул иткәннәр"
"Әнә теге бандероль тагын югалган, шайтан алгыры","Бандероль тагын югалган, бу инде туйдырды"
"Син болай эшләсәң, бөтен план пиздецка китә","Син болай эшләсәң, план бозылачак"
"Бу машинаның двигателе тагын хуй белә ни кыра башлады","Машина двигателе тагын сәер тавыш чыгара башлады"
"Мин монда килеп кергәндә — блять, тагын сугышып утыралар иде","Мин кергәч, алар тагын талашып утыра иде"
"Бу хәл минем нерв системасын шартлата, җен аласын","Бу хәл миңа бик зур киеренкелек бирә"
"Син әйткән фикер шулай тиле яңгырый, түгел ничек аңларга","Бу фикер тиле яңгырый, аңларлык түгел"
"Мин бу очракны күрдем дә, пиздец дип уйладым","Бу очракны күреп, бик авыр хәл дип уйладым"
"Бу фатирда кемдер тагын лампаны ватып чыккан","Фатирда кемдер лампаны тагын ваткан"
"Синең сүзләр кайчак чистый блять ахмаклык","Синең сүзләр кайчак зур ахмаклык булып яңгырый"
"Бу җирдә кемдер тагын хрень ясаган, аңлашылмый","Монда кемдер тагын нәрсәдер бозган, аңлашылмый"
"Мондагы тавыш җен кебек котырта","Мондагы тавыш тынычлык бирмичә котырта"
"Бу карточка тагын блокировкаланган, хуй белә ник","Карточка тагын блокировкаланган, ни өчен — аңлашылмый"
"Мин бу хәлгә төштем дә, блять, нишләргә белмәдем","Бу хәлгә төшкәч, нишләргә белмәдем"
"Син болай сөйләшә башлагач, җен дә куркып качар","Син болай сөйләшә башлагач, хәтта тыныч кеше дә куркып китәр"
"Бу хата — чистый ахмаклык, кем эшләгән моны","Бу хата — зур саксызлык"
"Машина тагын туктады, шайтан алгыры","Машина тагын туктап калды, уңайсыз"
"Мин бу документларны ачып карадым — пиздец инде","Документларны ачып карадым — бик күп җитешсезлекләр"
"Нигә син бу хәтле пычрак эш эшләдең","Нигә син болай начар эш башкардың"
"Бу хәлгә килеп җитү — блять, мин көтмәгән әйбер","Бу хәл мин көтмәгәнчә килеп чыкты"
"Синең бу җавабың — хрень генә түгел, ә тулысынча ахмаклык","Синең җавабың тулысынча уйланмаган"
"Бу җыелыш чистый блять баш авыртуы, беркем дә нәрсә аңламый","Бу җыелыш баш авыртуы гына, беркем дә аңламый"
" Документларны карасаң — хуй белә кем төзегән, хаталар тулы","Документларны кем эшләгән — хаталар бик күп"
" Мин бу проблеманы күрү белән, пиздец булачагын аңладым","Проблеманы күрү белән, зур авырлык киләчәге аңлашылды"
" Синең бу җавап — җен аласын, бөтенләй уйланмаган","Синең җавап бөтенләй уйланмаган"
" Бу программа тагын ватылды, блять, иртәннән бирле түзмим инде","Программа тагын эшләми, иртәннән бирле проблема"
" Әнә теге кеше мине нервка утыртып бетерде, шайтан алгыры","Әнә теге кеше мине бик нык ярсыта"
" Нигә син бу кадәр тиле фикер әйттең, хуй белә нәрсә уйладың","Син әйткән фикер бөтенләй уйланмаган, нәрсә уйладың икән"
" Бүген автобуслар хрень кебек йөри, берсе вакытында килми","Автобуслар бүген бөтенләй вакытында килми"
" Бу бурыч баштан ук пиздец иде, кемдер дөрес үтәмәгән","Бу бурыч баштан ук начар башкарылган"
" Син шундый тавыш белән сөйләшәсең, җенетем кузгалып бетте","Синең тавышың мине бик нык ярсыта"
" Бу котелны кем тагын бозган, блять, салкын өйдә утырабыз","Котел тагын эшләми, өй салкын"
" Мин бу хәрәкәтне күрүгә, хуй булды инде дип уйладым","Бу хәрәкәтне күргәч, начар хәл бу дип уйладым"
" Бу заказны бөтенләй дөрес җибәрмәгәннәр, пиздец","Заказны бик начар җибәргәннәр"
" Нигә син тагын бу кадәр акырып җибәргәнсең, шайтан да куркыр","Нигә син болай кычкырдың, куркыта хәтта"
" Бу балык бөтенләй тозсыз, хрень пешергәнсең","Бу балык бөтенләй уңышсыз пешерелгән"
" Син бу очракта чынлап та тилергәнсең, җен дә аңламый","Син бу очракта чынлап та уйламыйча эшләгәнсең, аңлап булмый"
" Бу почта тагын заказны югалтты, блять, ничә тапкыр инде","Почта тагын заказны югалткан, бу инде бик туйдырды"
" Монда кемдер тагын бөтен әйберне чәчеп ташлаган, шайтан алгыры","Монда кемдер тагын бөтен әйберне чәчкән, тәртип юк"
" Бу хәлнең логикасы — чистый пиздец","Бу хәлнең логикасы бик начар"
" Син миңа ник шулай дорфа итеп җавап бирдең, ахмак","Син ник миңа болай дорфа җавап бирдең"
" Бу калькулятор хрень саный, бөтен нәтиҗәләр кәкре","Бу калькулятор дөрес санамый, нәтиҗәләре буталчык"
" Мин бу җирдә тагын югалдым, блять, билге дә юк","Мин монда тагын югалдым, билгеләр юк, уңайсызлык тудыра"
" Бу кадак кемгә кирәк булган, хуй белә, идән тулы","Бу кадак монда ник ята, кем куйган — аңлашылмый"
" Син бу хатаны болай кабатлыйсың икән, пиздец булыр","Син бу хатаны кабатлыйсың икән, нәтиҗә бик начар булачак"
" Монда җил капкасын шартлатып атты, җен аласын","Җил капканы бик каты шартлатып атты, куркыныч"
" Бу документтагы хаталар саны — блять, күзгә сыймый","Документтагы хаталар саны күзгә дә сыймый"
" Син бу мәсьәләгә бөтенләй карамыйсың, хрень кебек","Син бу мәсьәләгә бөтенләй игътибар бирмисең"
" Бу чәй бөтенләй су кебек, пычрак пешергәнсең","Бу чәй бөтенләй су кебек, уңышсыз пешерелгән"
" Мин бу хәлгә килеп, пиздец дип уйлап тордым","Бу хәлне күреп, бик авыр дип уйладым"
" Син бу кукине ник яндырдың, ахмак","Син бу кукине ник яндырдың, сак булырга кирәк иде"
" Бу фатир тагын җылытмый, шайтан эшедер","Фатир тагын җылытмый, уңайсыз"
" Кемдер тагын тәрәзәне ачык калдырган, җенетем кузгала","Кемдер тәрәзәне ачык калдырган, һәм йорт суытып киткән"
" Бу таблица тулысынча хуй белә ничек ясалган, аңлашылмый","Таблица бөтенләй дөрес төзелмәгән, аңлап булмый"
" Мин ыңгырашып та куйдым, блять, андый хәлне күргәч","Бу хәлне күреп, аптырап куйдым"
" Син бу документны укымагансың да, пиздец","Документны укымагансың да, шуңа хаталар күп"
" Хәзерге трафик хрень, бөтен кешеләр тыгылышып йөри","Трафик бүген бик начар, кешеләр тыгыз йөри"
" Бу шанслар белән безгә пиздец киләчәк, күренеп тора","Бу шартларда безнең хәлләр начар булачак"
" Бу болытлар җен кебек кайнап тора, яңгыр килә ахры","Болытлар бик көчле, яңгыр якынлаша кебек"
" Син бу мәсьәләне тагын боздың, блять, ничек шулай була","Син бу мәсьәләне тагын бозгансың, аңлашылмый"
" Бу системаның интерфейсы — хуй белә кем ясаган","Бу система интерфейсы бик уңайсыз ясалган"
" Мин бу пешергән ризыкны татып карадым — пиздец","Мин бу ризыкны татып карадым — тәме бик начар"
" Син монда ник шулай буталып йөрдең, җен аласын аңламыйм","Син монда ник болай буталып йөрдең — аңламыйм"
" Бу салым документлары хрень белән тулы","Бу салым документлары хаталар белән тулы"
" Нигә син бу чакыруны кире кактың, ахмаклык бит инде","Нигә син бу чакыруны кире кактың — аңлашылмый"
" Бу почта хезмәте — блять, иң тиле хезмәт","Бу хезмәт бик уңайсыз һәм төзек эшләми"
" Әнә теге диван тагын сынды, шайтан алгыры","Диван тагын сынды, бик борчый"
" Син бу чикләүне күрмәдеңме әллә, хуй белә","Син бу чикләүне күрмәгәнсең, игътибарсызлык"
" Бу җыелыш — чистый пиздец, бер фикер юк","Бу җыелышта бер фикер дә юк, нәтиҗәсе начар"
" Мин бу тәкъдимне күргәч, пычрак идея дип уйладым","Бу тәкъдимне күргәч, идея бик уңышсыз дип уйладым"
" Син болай сөйләшә башласаң, җен дә тынмый","Син болай сөйләшә башлагач, аралашу авырлашты"
" Бу проектның соңгы версиясе — блять, бөтенләй тайпылган","Проектның соңгы версиясе бөтенләй туры түгел"
" Син бу кодны пычрак язгансың, хрень күренә","Син бу кодны бик буталып язгансың, төзәтергә кирәк"
" Монда кемдер тагын обойны кубарган, шайтан да белмәс нигә","Монда кемдер обойны кубарган, ни өчен — аңлашылмый"
" Бу маршрут хуй белә нинди катлаулы булып чыкты","Бу маршрут бик катлаулы булып чыкты"
" Мин бу хәлгә кердем дә, пиздец дип шок булдым","Бу хәлне күргәч, аптырап калдым"
" Кемдер бу ишекне төзәтми торган, җен аласын","Ишекне төзәтмиләр, уңайсызлык тудыра"
" Син бу операцияне бозгансың, блять, күренеп тора","Син бу операцияне бозгансың, төзәтергә кирәк"
"Бу шкафның ишеге тагын төшеп төшкән, шайтан кебек","Шкаф ишеге тагын төшкән, ремонт кирәк"
"Әнә теге тавыш хрень кебек колакны ярырлык","Бу тавыш колакка авыр тия"
" Монда тагын кемдер пычрак эзләр калдырган, җенетем кузгала","Монда тагын пычрак эзләр калдырганнар"
"Бу килешүнең шартлары — чистый пиздец, бернинди логика юк","Килешү шартлары бөтенләй уйланмаган"
"Син бу эшне башлагансың да, хуй белән ташлап киткәнсең кебек","Син эшне башлагансың да, ахырына кадәр җиткермәгәнсең"
"Бу программа яңадан туктады, блять, иртәннән бирле булмый","Программа яңадан эшләми башлады"
"Монда кемдер документларны бутаган, җен аласын, тәртип юк","Монда кемдер документларны бутаган, тәртип юк"
"Бу әңгәмә пычракка әйләнде, хрень генә сөйли башладылар","Әңгәмә начар якка китте, файдасы булмады"
"Син тагын шушы тиле хатаны ясадың, пиздец инде бу","Син тагын шул ук хатаны эшләгәнсең, моны төзәтергә кирәк"
"Бу бурычның вакыты җитте, ә син һаман хуй белә нәрсә белән йөрисең","Бу бурычның вакыты җиткән, ә син һаман әзер түгел"
"Машина тагын сүнеп калды, блять, мин туйдым инде моңардан","Машина тагын сүнеп калды, уңайсыз хәл"
"Кемдер тагын микродулкынлы мичне яндырган, шайтан алгыры","Монда кемдер микродулкынлы мичне яндырган, саксызлык зур"
"Бу проектның схемаcы — пиздец, бер сызык туры түгел","Проект схемасы дөрес эшләнмәгән, төзәтергә кирәк"
"Син бу заказны ике тапкыр бозып чыгардың, блять","Син бу заказны инде икенче тапкыр бозып җибәрдең"
"Монда кемдер ахмакча карар кабул иткән, җен дә аңламас","Монда бик уйланмаган карар кабул иткәннәр"
"Бу чүпне кем ташлаган, хуй белә, ишек төбе пычрак","Бу чүп монда ник ята — аңлашылмый"
"Мин бу хәбәрне ишеткәч, пиздец дип аптырап калдым","Бу хәбәрне ишеткәч, аптырап калдым"
"Син бу документны ничек шулай начар тутырдың, блять","Документ бик начар тутырылган, төзәтергә кирәк"
"Бу шәһәрдәге юллар — чистый хуй, йөреп булмый","Бу шәһәр юллары бик начар хәлдә"
"Монда тагын ут өзелде, шайтан алгыры, ничә тапкыр инде","Монда тагын ут өзелгән"
"Бу ризыкның тәме — пиздец, бөтенләй ашарлык түгел","Бу ризыкның тәме уңышсыз чыккан"
"Син болай ашыксаң, хрень генә чыгар","Болай ашыксаң, начар нәтиҗә булачак"
"Бу ноутбук бүген тагын җүләрләнде, блять","Ноутбук бүген тагын эшләми"
"Монда кемдер бөтен фатирны дөп итеп пычраткан, җен аласын","Монда кемдер фатирны пычратып чыккан"
"Бу бурычны үтәгән кеше хуй белән генә караган ахры","Бу бурычны үтәгәндә җаваплылык җитмәгән"
"Мин бу сүзне ишеткәч, пиздец дип тындым","Мин бу сүзне ишеткәч, аптырап калдым"
"Син бу кодны төзәткәнсең дип уйлыйсың, ә ул тагын блять ватылган","Син бу кодны төзәттем дип уйлыйсың, ләкин ул һаман эшләми"
"Бу сорау тиле, хрень генә уйлап чыгарганнар","Бу сорау бик уйланмаган кебек"
"Монда җил шулай өрә ки, җен кебек котыра","Җил бик көчле исә, тавышы борчый"
"Бу әйбернең бәясе — пиздец, ничек шулай күтәрелгән","Бу әйбернең бәясе артык югары"
"Син бу билетны тагын югалттың, блять, ничәнче тапкыр инде","Син бу билетны тагын югалткансың"
"Бу планның нигезе хуй кебек селкенеп тора, тотрык юк","Бу планның нигезе тотрыксыз"
"Монда тагын кемдер карандаш белән стенаны сызып чыккан","Монда тагын каралмаган эзләр бар, кемнәрдер саксыз йөргән"
"Бу хәлгә килеп җитү — чистый пиздец","Бу хәлгә килеп җитү — бик авыр һәм уңышсыз ситуация"
"Син бу хәрәкәт белән бөтен эшне батып чыгардың, блять","Син бу гамәл белән бөтен эшне катлауландырдың"
"Бу флагман дип сатылган телефон хрень булып чыкты","Бу телефон, флагман дип сатылса да, үзен яхшы күрсәтми"
"Кемдер монда туңдыргычны ачык калдырган, җенетем кузгала","Монда кемдер туңдыргычны ачык калдырган, һәм ул эри башлаган"
"Бу бурычның нәтиҗәсе — пиздец, берни туры түгел","Бу бурычның нәтиҗәсе бик уңышсыз"
"Син бу проектка бөтенләй хуй белән карагансың","Син бу проектка җитәрлек игътибар бирмәгәнсең"
"Бу менеджерның җаваплары — блять, бөтенләй логикасыз","Бу менеджерның җаваплары логикасыз кебек"
"Монда суыткыч тагын су агыза, шайтан алгыры","Суыткыч тагын су агыза, төзәтергә кирәк"
"Бу хат шулай ахмакча язылган ки, пиздец укырга","Бу хат бик начар язылган, укырга авыр"
"Син нишләп тагын бәрелеп кердең, хуй белә","Син нишләп тагын бәрелеп кердең — саксызлык"
"Бу компьютерның тавышы — чистый хрень","Бу компьютер тавышы уңайсыз һәм каты"
"Мин бу күренешне күргәч, блять, телсез калдым","Мин бу күренешне күргәч, аптырап калдым"
"Син бу теманы аңлаттым дип йөрисең, ә үзең хуй белә нәрсә сөйлисең","Син аңлата дип уйлыйсың, ләкин фикерләрең буталчык"
"Бу юлның тишекләре — пиздец, машинаны боза","Юл күп тишекле, машиналарга авырлык тудыра"
"Монда тагын кемдер пычрак савытларны өеп куйган, җен аласын","Монда кемдер савыт-сабаны юмыйча калдырган, пычрак"
"Бу документны тикшерү — хрень, хатадан тулы","Бу документны тикшерү авыр — хаталар күп"
"Син бу сорауга шундый тиле җавап бирдең, блять","Син сорауга уйланмаган җавап бирдең"
"Бу күрше тагын төнлә тавыш чыгарган, шайтан да түзмәс","Күрше төнлә тагын тавыш чыгарган, уңайсыз"
"Мин бу хәлне аңларга тырыштым, ләкин пиздец булды","Бу хәлне аңларга тырыштым, ләкин барыбер буталчык"
"Бу диварның буяуы — хуй белә ничек сөртелгән","Бу диварның буяуы дөрес сөртелмәгән, төзәтергә кирәк"
"Син бу заказны вакытында тапшырмадың, блять","Син бу заказны вакытында тапшырмадың, соңардың"
"Машинаңның ишеге тагын шап итеп ябылмый, җен аласын","Машина ишеге тагын ябылмый, ремонт кирәк"
"Бу график — пиздец, бөтен саннар буталган","Бу график бик буталчык, саннар туры килми"
"Син бу сүзне ник әйттең, хуй белә, кешене рәнҗеттең","Син бу сүзне ник әйттең — кешене рәнҗеткәнсең"
"Бу кафе ризыгыннан соң хәзерем хрень булды","Бу кафе ризыгыннан соң хәлем яхшы булмады"
"Монда кемдер тагын обогревательне сүндергән, блять, салкын","Монда кемдер җылыткычны сүндергән, бинада салкын"
"Бу хәлгә карап тору — чистый пиздец","Бу хәлгә карап тору күңелсез һәм авыр"
"Син бу пакетка артык чүп тутыргансың, җенетем кузгала","Син бу пакетка артык чүп тутыргансың, тәртип юк"
"Бу план төзелеше — хуй, бөтенләй урынсыз","Бу план төзелеше урынсыз һәм уйланмаган"
"Монда тагын кемдер пычрак суны идәнгә түккән","Монда кемдер суны идәнгә түккән, пычраклык бар"
"Бу чәй пешерүе — пиздец, тәмсез, су кебек","Бу чәйнең тәме уңышсыз чыккан"
"Син тагын утны сүндерергә оныткансың, блять, ничек шулай була","Син тагын утны сүндерергә оныткансың, сак булырга кирәк"
"Бу проектның башлангычы ук хуй, логика юк","Проектның башлангычы ук дөрес планланмаган"
"Монда кемдер бөтен кәгазьләрне чәчеп ташлаган, җен аласын","Монда кемдер кәгазьләрне дөрес урнаштырмаган"
"Бу шалтырату сервисы — чистый хрень, җавап бирмиләр","Бу шалтырату хезмәте җавап бирми, уңайсыз"
"Син бу хәлне бөтенләй начар якка бордың, пиздец булды","Син хәлне начар якка үзгәрткәнсең"
"Бу ишекнең йозагы тагын катырып калган, блять","Ишек йозагы тагын катырып калган, төзәтергә кирәк"
"Әнә теге тавыш җен кебек төн буе чыңлый","Әнә теге тавыш төн буе борчый"
"Бу ризыкны кем пешергән — хуй белә, ашарлык түгел","Бу ризык уңышсыз пешерелгән, ашарга авыр"
"Син бу файлны кая куйдың, пиздец, табып булмый","Син бу файлны кая куйганыңны хәтерләмисең, табып булмый"
"Мондагы суыткыч тавышы — блять, әйтерсең трактор","Суыткыч тавышы бик каты һәм уңайсыз"
"Бу планны төзегән кеше хрень уйлап чыгарган","Проект идеясы уйланмаган булып чыккан"
"Син бу кодта тагын хата калдыргансың, пиздец","Кодта тагын хата бар, төзәтергә кирәк"
"Бу почта бүген тагын эшләми, хуй белә нигә","Почта хезмәте бүген дә эшләми, уңайсызлык тудыра"
"Монда кемдер тагын батареяны зур итеп куйган, җенетем кузгала","Монда кемдер батареяны артык кыздырган, температура югары"
"Бу бурычны эшләгән кеше — блять, бөтенләй тырышмаган","Бу бурычны башкарган кеше җитди тырышмаган кебек"
"Бу диварлар шундый юка ки, хрень ишетелә","Диварлар бик юка, тавышлар үтә"
"Син бу форманы шулай тутырсаң, пиздец булыр","Син бу форманы дөрес тутырмагансың"
"Бу баганага кем суккан, хуй белә, бөгелгән","Бу багана бөгелгән, төзәтү кирәк"
"Монда тагын кемдер идәнгә су түккән, шайтан алгыры","Монда тагын су идәнгә түгелгән"
"Бу бәяләр — чистый пиздец, акылга сыймый","Бәяләр артык югары, акылга сыймый"
"Син бу мәсәләне бөтенләй аңламагансың, блять","Син бу мәсьәләне аңламагансың, өйрәнергә кирәк"
"Бу ноутбук тагын җылына башлады, хрень бер","Ноутбук тагын артык кызына башлаган"
"Монда кемдер кыш уртасында тәрәзәне ачык калдырган, җен аласын","Кемдер кыш көне тәрәзәне ачык калдырган, өй суык"
"Бу проектның нәтиҗәсе — пиздец, көтелгәнгә охшамаган","Проект нәтиҗәсе көтелгәнгә туры килми, уңышсыз"
"Син бу яңалыкны ишеткәч, блять, шок булдың кебек","Бу яңалыкны ишеткәч, шаккаттың кебек"
"Бу график хуй белә ничек төзелгән, бер сызык туры түгел","Бу график дөрес төзәлмәгән, сызыклар туры түгел"
"Монда кемдер пычрак аяклар белән кергән, җенетем кузгала","Монда кемдер пычрак аяклар белән кереп пычраткан"
"Бу хәбәрне укыгач, мин пиздец дип елып куйдым","Бу хәбәрне укыгач, күңелем бушап китте"
"Син бу җиһазны тагын бозгансың, блять","Син бу җиһазны тагын бозгансың, саксызлык"
"Бу кырмыска тозагы — чистый хрень, эшләми","Бу тозак тотмый, нәтиҗә бирми"
"Бу органайзерны кем урлаган, хуй белә","Оештыручы әйбер югалган, кем алган — билгесез"
"Син бу әйберне урынына куймагансың, җен аласын","Син әйберне урынына кайтmamгансың, тәртип сакланмаган"
"Бу диванның пружиналары — пиздец, тырпайган","Диван пружиналары тырпайган, утырырга уңайсыз"
"Монда тагын су баскан, блять, берүк төзәтмиләр","Монда су баскан, төзәтү кирәк"
"Бу мониторның төсләре — хрень, кәкре-бөкре","Монитор төсләре бик начар күренә"
"Син бу бүлемне бөтенләй дөрес тутырмагансың, пиздец","Бу бүлем дөрес тутырылмаган, яңадан эшләргә кирәк"
"Бу тәлинкә кем тарафыннан ватылган — хуй белә","Тәлинкә ватылган, кем ваткан — билгесез"
"Монда тагын кайнаган су идәнгә түгелгән, җенетем чыгып бетте","Монда кайнаган су түгелгән, идән пычранган"
"Бу проект бик акрын бара, блять, вакыт юк инде","Проект бик акрын бара, вакыт аз кала"
"Син бу фатирны күрсәң — хрень, бөтен җирдә чүп","Бу фатир бик пычрак, тәртип юк"
"Бу юлдагы чокырлар — чистый пиздец","Юл чокырлар белән тулы, йөрү уңайсыз"
"Монда кемдер тагын розетканы ватып куйган, шайтан алгыры","Монда кемдер розетканы ватып куйган, ремонт кирәк"
"Бу сорауны укыгач, мин блять берни аңламадым","Бу сорауны укыгач, аңламадым, төгәл түгел"
"Син бу логинны ялгыш язгансың, хуй белә ничек мондый хата ясагансың","Син бу логинны ялгыш язгансың, шуңа хата чыккан"
"Бүген иртән мин урам буйлап йөреп саф һава суладым","Бүген иртән мин урам буйлап йөреп саф һава суладым"
"Дустым яңа китап укый башлады һәм аны бик ошатты","Дустым яңа китап укый башлады һәм аны бик ошатты"
"Без кич белән чәй эчеп озак сөйләшеп утырдык","Без кич белән чәй эчеп озак сөйләшеп утырдык"
"Әни бүген тәмле бәлеш пешерде, өйгә искиткеч ис таралды","Әни бүген тәмле бәлеш пешерде, өйгә искиткеч ис таралды"
"Мин бүген яңа проект өстендә эшләп бетердем","Мин бүген яңа проект өстендә эшләп бетердем"
"Кибеттә кирәкле әйберләрне сатып алып кайтып киттем","Кибеттә кирәкле әйберләрне сатып алып кайтып киттем"
"Укытучы дәрестә кыен теманы аңлаешлы итеп аңлатты","Укытучы дәрестә кыен теманы аңлаешлы итеп аңлатты"
"Бүгенге һава торышы бик җылы һәм рәхәт булды","Бүгенге һава торышы бик җылы һәм рәхәт булды"
"Мин спортзалга барып, сәгать ярым шөгыльләнеп чыктым","Мин спортзалга барып, сәгать ярым шөгыльләнеп чыктым"
"Дусларыбыз белән паркта прогулка ясадык","Дусларыбыз белән паркта прогулка ясадык"
"Кече туганым бүген мәктәптә бишле алган","Кече туганым бүген мәктәптә бишле алган"
"Без өйдә ремонт башларга дип карар кылдык","Без өйдә ремонт башларга дип карар кылдык"
"Китапханәдә кирәкле материалларны табып алдым","Китапханәдә кирәкле материалларны табып алдым"
"Кичә кич бик матур фильм карадык","Кичә кич бик матур фильм карадык"
"Мин бүген иртән йөгерергә чыктым, үземне яхшы хис иттем","Мин бүген иртән йөгерергә чыктым, үземне яхшы хис иттем"
"Өстәлдәге эшләрне тәртипкә китереп куйдым","Өстәлдәге эшләрне тәртипкә китереп куйдым"
"Яңа ноутбук бик тиз эшли һәм уңайлы","Яңа ноутбук бик тиз эшли һәм уңайлы"
"Көндез без кафега кереп, тәмле десерт ашап алдык","Көндез без кафега кереп, тәмле десерт ашап алдык"
"Дустым мине яңа урынга чакырды, без анда очраштык","Дустым мине яңа урынга чакырды, без анда очраштык"
"Мин бүген үзем өчен яңа план төзедем","Мин бүген үзем өчен яңа план төзедем"
"Без гаилә белән ял көнне авылга барып кайттык","Без гаилә белән ял көнне авылга барып кайттык"
"Бүген тренировкада мин рекорд куйдым","Бүген тренировкада мин рекорд куйдым"
"Әтием берничә файдалы киңәш бирде","Әтием берничә файдалы киңәш бирде"
"Яңа курска язылдым, ул миңа бик ошый","Яңа курска язылдым, ул миңа бик ошый"
"Кичә кич матур кояш баюын карап тордым","Кичә кич матур кояш баюын карап тордым"
